Game Names,NombreDeGrafica,RamDeGrafica(GB)
Call of Duty Modern Warfare II  Cosmic Traveler Pro Pack,NVIDIA® GeForce® GTX 960 / GTX 1650 or AMD Radeon™ RX 470,8
STAR WARS Squadrons,Radeon HD 7850 or better/GeForce GTX 660 or better,8
Call of Duty Vanguard,NVIDIA GeForce GTX 960 or AMD Radeon RX 470,8
Battlefield 2042,"AMD Radeon RX 560,Nvidia GeForce GTX 1050 Ti",8
Battlefield V,NVIDIA GeForce® GTX 1050 / NVIDIA GeForce® GTX 660 2GB or AMD Radeon™ RX 560 / HD 7850 2GB,8
Battlefield 1  Shortcut Kit Ultimate Bundle,"NVIDIA GTX 1650 Super or AMD Radeon RX 5500 XT, with a minimum of 4GB of VRAM",8
Battlefield 2042 Elite Upgrade,"AMD Radeon RX 560,Nvidia GeForce GTX 1050 Ti",8
Call of Duty Black Ops Cold War  Elite Pack,NVIDIA® GeForce® GTX 670 / NVIDIA® GeForce® GTX 1650 or AMD Radeon™ HD 7950 -,8
Call of Duty Modern Warfare III  Tech Luxe Pro Pack,NVIDIA® GeForce® GTX 960 / GTX 1650 or AMD Radeon™ RX 470,8
Tom Clancys The Division,"NVIDIA GeForce GTX 560 with 2 GB VRAM (current equivalent NVIDIA GeForce GTX 760) | AMD Radeon HD 7770 with 2 GB VRAM, or better - See supported List*",6
Call of Duty Infinite Warfare  Season Pass,NVIDIA GeForce GTX 660 2GB / AMD Radeon HD 7850 2GB,8
Call of Duty Modern Warfare II  Manticore Pro Pack,NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 470 -,8
Call of Duty Modern Warfare III  Emerald Pro Pack,NVIDIA® GeForce® GTX 960 / GTX 1650 or AMD Radeon™ RX 470,8
Battlefield V  Premium Starter Pack,NVIDIA GeForce® GTX 1050 / NVIDIA GeForce® GTX 660 2GB or AMD Radeon™ RX 560 / HD 7850 2GB,8
STAR WARS Battlefront Classic Collection,2GB GTX 750,4
Call of Duty Modern Warfare II  Griffin Pro Pack,NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 470 -,8
Tom Clancys The Division 2  Value Bundle,"AMD R9 280X (3 GB), NVIDIA GeForce GTX 780 (3 GB with Shader Model 5.0+), or better",8
Call of Duty Black Ops Cold War  Starter Pack,NVIDIA® GeForce® GTX 670 / NVIDIA® GeForce® GTX 1650 or AMD Radeon™ HD 7950 -,8
Call of Duty Modern Warfare III  Nova 6 Pro Pack,NVIDIA® GeForce® GTX 960 / GTX 1650 or AMD Radeon™ RX 470,8
Call of Duty Modern Warfare II  Desert Rogue Pro Pack,NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 470 -,8
Call of Duty Modern Warfare III  Cyberjunkie Pro Pack,NVIDIA® GeForce® GTX 960 / GTX 1650 or AMD Radeon™ RX 470,8
CounterStrike 2,Video card must be 1 GB or more and should be a,8
Warframe,Card,4
EA SPORTS FC 25,AMD RX 570 or Nvidia GTX 1050 Ti,8
Call of Duty Warzone,NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 470 -,8
Call of Duty Modern Warfare II  Griffin Pro Pack,NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 470 -,8
Call of Duty Black Ops Cold War  Elite Pack,NVIDIA® GeForce® GTX 670 / NVIDIA® GeForce® GTX 1650 or AMD Radeon™ HD 7950 -,8
